spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1604,"Maria Grigorievna Prokofieva to Sergey Sergeevich Prokofiev, 23 December 1920",not_stated,"Binder XLIII, page 79",23 December 1920,exact,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,San Diego,,San Diego,photocopy,postcard,handwritten,Russian,,-117.16171,32.71568
1614,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 03 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 50",03 January 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",original,letter,printed,English,,-118.1759873,34.04594546
1615,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 04 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 51",04 January 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",original,letter,typed,English,,-118.1759873,34.04594546
1619,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 08 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 48",08 January 1921,exact,Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",original,telegram,typed,English,,-118.1759873,34.04594546
1621,"Jessica Colbert to Sergey Sergeevich Prokofiev, 10 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 55",10 January 1921,exact,Jessica Colbert,not_stated,619 Hearst Building,San Francisco,,"619 Hearst Building, San Francisco",Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",original,letter,typed,English,,-118.1759873,34.04594546
1626,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 14 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 60",14 January 1921,exact,Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,347 Blanchard Hall,Los Angeles,,"347 Blanchard Hall, Los Angeles",original,telegram,typed,English,,-118.1759873,34.04594546
1628,"Sergey Sergeevich Prokofiev to Sergey Sergeevich Prokofiev, 21 January 1921","Box: 1; Folder: 1921, January","Binder XLI, page 63",21 January 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,original,letter,handwritten,English,Originator; 'Ada Buramieres' (?),-87.63245,41.88425
1633,"Ephraim Gottlieb to Sergey Sergeevich Prokofiev, 01 February 1921","Box: 1; Folder: 1921, February","Binder XLI, page 88",01 February 1921,exact,Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",original,telegram,typed,English,,-73.98240912,40.75416495
1639,"not_stated to Sergey Sergeevich Prokofiev, [10 February 1921]","Box: 1; Folder: 1921, February","Binder II, page 129",10 February 1921,implied,not_stated,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,"Hotel National Upper, Bedford Place",London,,"Hotel National Upper, Bedford Place, London",original,telegram,typed,English,"From ""Victoria.",-0.1279000002,51.52339
1642,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 17 February 1921","Box: 1; Folder: 1921, February","Binder XLI, page 91",17 February 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,11 Great Marlborough Street,London,,"11 Great Marlborough Street, London",original,letter,typed,English,,-0.1372937362,51.51487472
1644,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 01 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 96",01 March 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,11 Great Marlborough Street,London,,"11 Great Marlborough Street, London",original,letter,typed,English,,-0.1372937362,51.51487472
