spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
1975,"Albert Coates to Sergey Sergeevich Prokofiev, 21 June 1922","Box: 1; Folder: 1922, June","Binder III, page 180",21 June 1922,exact,Albert Coates,not_stated,3 Kensington Palace Gardens,London,,"3 Kensington Palace Gardens, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,English,,1,,-0.192295086399145,51.5091633450798
1978,"Vladimir Nikolaevich Tsederbaum to Sergey Sergeevich Prokofiev, 27 June 1922","Box: 1; Folder: 1922, June","Binder III, page 184",27 June 1922,exact,Vladimir Nikolaevich Tsederbaum,not_stated,12 Rue José Maria de Hérédia,Paris,,"12 Rue José Maria de Hérédia, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Date might be 21/06/1922.,2,,2.30761057717238,48.8478391712464
1980,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, [28 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 188",28 June 1922,implied,Alexei Fedorovich Staal,not_stated,Kirchheimerstrasse 38,Degerloch,,"Kirchheimerstrasse 38, Degerloch",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,,3,,9.19228837383285,48.7556964736043
1981,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, [29 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 194",29 June 1922,implied,José Raoul Capablanca,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,English,Postcard of 'Hotel Majestic'.,4,,2.34143999979337,48.8572100000963
1983,"Iosif Vladimirovich Gessen to Sergey Sergeevich Prokofiev, 08 July 1922","Box: 1; Folder: 1922, July","Binder III, page 192",08 July 1922,exact,Iosif Vladimirovich Gessen,not_stated,Markgrafenstrasse 73,Berlin,,"Markgrafenstrasse 73, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,5,,13.2915562437104,52.6378365690883
1986,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 04 July 1922","Box: 1; Folder: 1922, July","Binder III, page 196",04 July 1922,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Bad Kissingen,,Bad Kissingen,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Full address: 'Hofret Dr. v. Koniezkowsky's Sanatorium;,6,,10.0752800000031,50.2040000001124
1987,"Ganna Walska-McCormick to Sergey Sergeevich Prokofiev, [08 July 1922]","Box: 1; Folder: 1922, July","Binder III, page 199",08 July 1922,implied,Ganna Walska-McCormick,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,"Address: '14 (17?) rue de Lubeck, Passy, 94-94, Paris'.",7,,2.34143999979337,48.8572100000963
1988,"not_stated to Sergey Sergeevich Prokofiev, 08 July 1922","Box: 1; Folder: 1922, July","Binder III, page 202",08 July 1922,exact,not_stated,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,German,,8,,13.3769100001127,52.5160400001679
1989,"Vera Janacopulos to Sergey Sergeevich Prokofiev, 08 July 1922","Box: 1; Folder: 1922, July","Binder III, page 209",08 July 1922,exact,Vera Janacopulos,not_stated,Kirchheimerstrasse 38,Degerloch,,"Kirchheimerstrasse 38, Degerloch",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,French,Signed 'Diva'.,9,,9.19228837383285,48.7556964736043
1992,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 15 July 1922","Box: 1; Folder: 1922, July","Binder III, page 204",15 July 1922,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Bad Kissingen,,Bad Kissingen,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,Full address: 'Sanatorium Villa Stella'.,10,,10.0752800000031,50.2040000001124
1993,"Alfred Bloch to Sergey Sergeevich Prokofiev, 18 July 1922","Box: 1; Folder: 1922, July","Binder III, page 208",18 July 1922,exact,Alfred Bloch,not_stated,12 Rue Henner,Paris,,"12 Rue Henner, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,English,,11,,2.33310638729308,48.8803748205801
1996,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, 22 July 1922","Box: 1; Folder: 1922, July","Binder III, page 213",22 July 1922,exact,José Raoul Capablanca,not_stated,Queen Anne's Mansions,London,,"Queen Anne's Mansions, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,"Full address; 'Queen Anne's Mansions, St. James's Park, London S.W.1.'.",12,,-0.191848499735411,51.4889100000367
1997,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 23 July 1922","Box: 1; Folder: 1922, July","Binder III, page 215",23 July 1922,exact,Ernest Alexandrovich Oeberg,not_stated,not_stated,Bad Kissingen,,Bad Kissingen,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,13,,10.0752800000031,50.2040000001124
