SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1502,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 31 December 1911",Box: 26S; Folder:,not_applicable,31 December 1911,implied,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Nina Alfredovna Reberg,not_stated,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",,Ukraine,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0013,30.30604,59.93318
1503,"Sergey Sergeevich Prokofiev to Vera Reberg, 29 August 1912",Box: 26S; Folder:,"Binder XLIII, page 134",29 August 1912,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,,Kislovodsk,Vera Reberg,not_stated,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",,Ukraine,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0014,42.7164,43.9107
1506,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 22 January 1913",Box: 26S; Folder:,"Binder XLIII, page 126",22 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0010,30.30604,59.93318
1507,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 29 January 1913",Box: 26S; Folder:,"Binder XLIII, page 138",29 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Yalta,,Yalta,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0016,34.15693,44.5023
1508,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 11 July 1913",Box: 26S; Folder:,"Binder XLIII, page 124",11 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lausanne,,Lausanne,Nina Alfredovna Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0009 Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to N. A. Reberg),6.63222,46.5196
1509,"Sergey Sergeevich Prokofiev to Zina Reberg, 23 July 1913",Box: 26S; Folder:,"Binder XLIII, page 122",23 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lucerne,,Lucerne,Zina Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0008 Addressed to: EV Sof'ia Iosifovna Kovalevskaia (please pass to Z. A. Reberg),8.30437,47.04954
1510,"Sergey Sergeevich Prokofiev to Vera Reberg, 16 September 1913",Box: 26S; Folder:,"Binder XLIII, page 130",16 September 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Vera Reberg,not_stated,Rybnaia 30 kv. 8,Kharkov,,"Rybnaia 30 kv. 8, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0012,30.30604,59.93318
1513,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 03 June 1915",not_stated,"Binder XLI, page 18",03 June 1915,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Leningrad,,Leningrad,Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,draft,Russian,,30.26417,59.89444
1514,"Sergey Sergeevich Prokofiev to Sergei Ivanovich Taneev, 25 December 1910",Box: 1; Folder: 1910-1915,"Binder XIV, page 83",25 December 1910,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Moscow,,Moscow,Sergei Ivanovich Taneev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,"Implied date: [February 1927]. COPY of letter headed 'Spg'.dated 25/12/1910 from SP to Taneev on notepaper headed: 'Obshchestvo Muzykal'no-Teoreticheskaia Biblioteka v Moskve. B.Nikitskaia, d. 13', with note in SP's hand of receipt of copy of letter in February 1927.",37.61501,55.75696
1543,"Sergey Sergeevich Prokofiev to Serge Pavlovich Diaghilev, 21 January 1918",not_stated,"Binder XLI, page 21",21 January 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,,Kislovodsk,Serge Pavlovich Diaghilev,not_stated,not_stated,not_stated,,not_stated,photocopy,postcard,draft,Russian,,42.7164,43.9107
1544,"Sergey Sergeevich Prokofiev to Serge Pavlovich Diaghilev, 23 January 1918",not_stated,"Binder XLI, page 22",23 January 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,,Kislovodsk,Serge Pavlovich Diaghilev,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,draft,Russian,,42.7164,43.9107
1546,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 23 June 1918",not_stated,"Binder XLI, page 24",23 June 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Nara,,Nara,Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,,not_stated,photocopy,postcard,handwritten,Russian,,135.8048297,34.68509144
1551,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 13 April 1919",not_stated,"Binder XLII, page 11",13 April 1919,exact,Sergey Sergeevich Prokofiev,not_stated,Fifth Avenue & One Hundredth Street,New York,,"Fifth Avenue & One Hundredth Street, New York",Fatma Samoilenko,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,See metadata: Q:\prokofiev\INCREMENTAL\HOLDINGS\Listings holdings\ARCHIVAL MATERIAL_Listing\Samoilenko correspondence_metadata.doc,-73.8677625,40.75362461
1554,"Sergey Sergeevich Prokofiev to Boris Nikolaevich Samoilenko, 16 October 1919",not_stated,"Binder XLII, page 14",16 October 1919,exact,Sergey Sergeevich Prokofiev,not_stated,940 Park Avenue,New York,,"940 Park Avenue, New York",Boris Nikolaevich Samoilenko,not_stated,not_stated,Lakewood,,Lakewood,photocopy,letter,handwritten,Russian,,-73.95966843,40.77711201
