spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1502,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 31 December 1911",Box: 26S; Folder:,not_applicable,31 December 1911,implied,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Nina Alfredovna Reberg,not_stated,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",,Ukraine,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0013,35.05060994,48.46180993
1503,"Sergey Sergeevich Prokofiev to Vera Reberg, 29 August 1912",Box: 26S; Folder:,"Binder XLIII, page 134",29 August 1912,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,,Kislovodsk,Vera Reberg,not_stated,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",,Ukraine,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0014,35.05060994,48.46180993
1504,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 02 September 1912",Box: 26S; Folder:,"Binder XLIII, page 128",02 September 1912,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,Nina Alfredovna Reberg,not_stated,"Vysch. Zhensk. Kursy, Armianskii per.",Kharkov,,"Vysch. Zhensk. Kursy, Armianskii per., Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0011,36.23577,50.00419
1506,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 22 January 1913",Box: 26S; Folder:,"Binder XLIII, page 126",22 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0010,36.22817938,49.98518132
1507,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 29 January 1913",Box: 26S; Folder:,"Binder XLIII, page 138",29 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Yalta,,Yalta,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0016,36.22817938,49.98518132
1508,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 11 July 1913",Box: 26S; Folder:,"Binder XLIII, page 124",11 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lausanne,,Lausanne,Nina Alfredovna Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0009 Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to N. A. Reberg),37.81449,48.00203
1509,"Sergey Sergeevich Prokofiev to Zina Reberg, 23 July 1913",Box: 26S; Folder:,"Binder XLIII, page 122",23 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lucerne,,Lucerne,Zina Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0008 Addressed to: EV Sof'ia Iosifovna Kovalevskaia (please pass to Z. A. Reberg),37.81449,48.00203
1510,"Sergey Sergeevich Prokofiev to Vera Reberg, 16 September 1913",Box: 26S; Folder:,"Binder XLIII, page 130",16 September 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,,St. Petersburg,Vera Reberg,not_stated,Rybnaia 30 kv. 8,Kharkov,,"Rybnaia 30 kv. 8, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0012,36.22817938,49.98518132
1511,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 19 April 1914",Box: 26S; Folder:,"Binder XLIII, page 136",19 April 1914,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,Nina Alfredovna Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0015 Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to Nina Alfredovna Reberg),37.81449,48.00203
1554,"Sergey Sergeevich Prokofiev to Boris Nikolaevich Samoilenko, 16 October 1919",not_stated,"Binder XLII, page 14",16 October 1919,exact,Sergey Sergeevich Prokofiev,not_stated,940 Park Avenue,New York,,"940 Park Avenue, New York",Boris Nikolaevich Samoilenko,not_stated,not_stated,Lakewood,,Lakewood,photocopy,letter,handwritten,Russian,,-105.08207,39.71092
