spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_full_address,original,document_type,format,language,notes
1502,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 31 December 1911",Box: 26S; Folder:,not_applicable,31 December 1911,implied,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,St. Petersburg,Nina Alfredovna Reberg,not_stated,Zhelannaia Stantsiia,Ekaterininskaia Zheleznaia Doroga,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0013
1503,"Sergey Sergeevich Prokofiev to Vera Reberg, 29 August 1912",Box: 26S; Folder:,"Binder XLIII, page 134",29 August 1912,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,Kislovodsk,Vera Reberg,not_stated,Zhelannaia Stantsiia,Ekaterininskaia Zheleznaia Doroga,"Zhelannaia Stantsiia, Ekaterininskaia Zheleznaia Doroga",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0014
1504,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 02 September 1912",Box: 26S; Folder:,"Binder XLIII, page 128",02 September 1912,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,Nina Alfredovna Reberg,not_stated,"Vysch. Zhensk. Kursy, Armianskii per.",Kharkov,"Vysch. Zhensk. Kursy, Armianskii per., Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0011
1505,"not_stated to Nina Alfredovna Reberg, 22 January 1913",Box: 26S; Folder:,"Binder XLIII, page 120",22 January 1913,exact,not_stated,not_stated,not_stated,not_stated,not_stated,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0007
1506,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 22 January 1913",Box: 26S; Folder:,"Binder XLIII, page 126",22 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,St. Petersburg,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0010
1507,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 29 January 1913",Box: 26S; Folder:,"Binder XLIII, page 138",29 January 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Yalta,Yalta,Nina Alfredovna Reberg,not_stated,Rybnaia 30 kv. 5,Kharkov,"Rybnaia 30 kv. 5, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0016
1508,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 11 July 1913",Box: 26S; Folder:,"Binder XLIII, page 124",11 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lausanne,Lausanne,Nina Alfredovna Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,"Original: spa-tex-cor-ori-0009
Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to N. A. Reberg)"
1509,"Sergey Sergeevich Prokofiev to Zina Reberg, 23 July 1913",Box: 26S; Folder:,"Binder XLIII, page 122",23 July 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Lucerne,Lucerne,Zina Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,"Original: spa-tex-cor-ori-0008
Addressed to: EV Sof'ia Iosifovna Kovalevskaia (please pass to Z. A. Reberg)"
1510,"Sergey Sergeevich Prokofiev to Vera Reberg, 16 September 1913",Box: 26S; Folder:,"Binder XLIII, page 130",16 September 1913,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Petersburg,St. Petersburg,Vera Reberg,not_stated,Rybnaia 30 kv. 8,Kharkov,"Rybnaia 30 kv. 8, Kharkov",original,postcard,handwritten,Russian,Original: spa-tex-cor-ori-0012
1511,"Sergey Sergeevich Prokofiev to Nina Alfredovna Reberg, 19 April 1914",Box: 26S; Folder:,"Binder XLIII, page 136",19 April 1914,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,Nina Alfredovna Reberg,not_stated,Stantsiia Balakleia,Severo-Donetsk,"Stantsiia Balakleia, Severo-Donetsk",original,postcard,handwritten,Russian,"Original: spa-tex-cor-ori-0015
Addressed to Sof'ia Iosifovna Kovalevskaia (please pass to Nina Alfredovna Reberg)"
1513,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 03 June 1915",not_stated,"Binder XLI, page 18",03 June 1915,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Leningrad,Leningrad,Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,not_stated,photocopy,letter,draft,Russian,
1514,"Sergey Sergeevich Prokofiev to Sergei Ivanovich Taneev, 25 December 1910",Box: 1; Folder: 1910-1915,"Binder XIV, page 83",25 December 1910,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Moscow,Moscow,Sergei Ivanovich Taneev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,"Implied date: [February 1927]. COPY of letter headed 'Spg'.dated 25/12/1910 from SP to Taneev on notepaper headed: 'Obshchestvo Muzykal'no-Teoreticheskaia Biblioteka v Moskve. B.Nikitskaia, d. 13',  with note in SP's hand of receipt of copy of letter in February 1927."
1515,"Serge Pavlovich Diaghilev to Sergey Sergeevich Prokofiev, 08 April 1915",Box: 1; Folder: 1910-1915,not_applicable,08 April 1915,exact,Serge Pavlovich Diaghilev,not_stated,not_stated,Rome,Rome,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,
1517,"not_stated to Maria Grigorievna Prokofieva, 13 March 1917",not_stated,"Binder I, page 31",13 March 1917,exact,not_stated,not_stated,not_stated,Petrograd,Petrograd,Maria Grigorievna Prokofieva,not_stated,not_stated,Essentuki,Essentuki,photocopy,letter,handwritten,Russian,
1543,"Sergey Sergeevich Prokofiev to Serge Pavlovich Diaghilev, 21 January 1918",not_stated,"Binder XLI, page 21",21 January 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,Kislovodsk,Serge Pavlovich Diaghilev,not_stated,not_stated,not_stated,not_stated,photocopy,postcard,draft,Russian,
1544,"Sergey Sergeevich Prokofiev to Serge Pavlovich Diaghilev, 23 January 1918",not_stated,"Binder XLI, page 22",23 January 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Kislovodsk,Kislovodsk,Serge Pavlovich Diaghilev,not_stated,not_stated,not_stated,not_stated,photocopy,letter,draft,Russian,
1546,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 23 June 1918",not_stated,"Binder XLI, page 24",23 June 1918,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Nara,Nara,Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,not_stated,photocopy,postcard,handwritten,Russian,
1551,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 13 April 1919",not_stated,"Binder XLII, page 11",13 April 1919,exact,Sergey Sergeevich Prokofiev,not_stated,Fifth Avenue & One Hundredth Street,New York,"Fifth Avenue & One Hundredth Street, New York",Fatma Samoilenko,not_stated,not_stated,not_stated,not_stated,photocopy,letter,handwritten,Russian,"See metadata:
Q:\prokofiev\INCREMENTAL\HOLDINGS\Listings holdings\ARCHIVAL MATERIAL_Listing\Samoilenko correspondence_metadata.doc"
1552,"Vladimir Nikolaevich Bashkirov to Sergey Sergeevich Prokofiev, 21 April 1919",Box: 1; Folder: 1919,"Binder I, page 52",21 April 1919,exact,Vladimir Nikolaevich Bashkirov,not_stated,780 Park Avenue,New York,"780 Park Avenue, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,typed,Russian,
1554,"Sergey Sergeevich Prokofiev to Boris Nikolaevich Samoilenko, 16 October 1919",not_stated,"Binder XLII, page 14",16 October 1919,exact,Sergey Sergeevich Prokofiev,not_stated,940 Park Avenue,New York,"940 Park Avenue, New York",Boris Nikolaevich Samoilenko,not_stated,not_stated,Lakewood,Lakewood,photocopy,letter,handwritten,Russian,
1559,"Sergey Sergeevich Prokofiev to Igor Fedorovich Stravinsky, 10 December 1919",not_stated,"Binder XLI, page 29",10 December 1919,exact,Sergey Sergeevich Prokofiev,not_stated,33 West 42nd Street,New York,"33 West 42nd Street, New York",Igor Fedorovich Stravinsky,not_stated,not_stated,not_stated,not_stated,photocopy,letter,handwritten,Russian,
1560,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 26 December 1919",not_stated,"Binder XLII, page 18",26 December 1919,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,New York,New York,Fatma Samoilenko,not_stated,53 West 46,New York,"53 West 46, New York",photocopy,postcard,handwritten,Russian,
1561,"not_stated to Sergey Sergeevich Prokofiev, 08 January 1920",Box: 1; Folder: 1920,"Binder I, page 57",08 January 1920,exact,not_stated,not_stated,not_stated,New Orleans,New Orleans,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,original,letter,handwritten,Russian,
1563,"Henri Prunières to Sergey Sergeevich Prokofiev, 08 February 1920",not_stated,"Binder XLI, page 87",08 February 1920,exact,Henri Prunières,not_stated,35 Rue Madame,Paris,"35 Rue Madame, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,not_stated,photocopy,letter,typed,French,
1565,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 11 March 1920",not_stated,"Binder XLII, page 20",11 March 1920,exact,Sergey Sergeevich Prokofiev,not_stated,340 West 57th Street,New York,"340 West 57th Street, New York",Fatma Samoilenko,not_stated,not_stated,not_stated,not_stated,photocopy,letter,handwritten,Russian,
