spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,x,y
2207,"Alfred Mead to Sergey Sergeevich Prokofiev, 04 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 129",04 April 1923,exact,Alfred Mead,not_stated,135-7 New Bond Street,London,,"135-7 New Bond Street, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,1,11.0930899997848,47.5688000000298
1962,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 08 June 1922","Box: 1; Folder: 1922, June","Binder III, page 166",08 June 1922,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,2,11.0930899997848,47.5688000000298
2209,"Jacques Hébertot to Sergey Sergeevich Prokofiev, 04 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 131",04 April 1923,exact,Jacques Hébertot,not_stated,13 - 15 Avenue Montaigne,Paris,,"13 - 15 Avenue Montaigne, Paris",Sergey Sergeevich Prokofiev,not_stated,11 Rue Scribe,Paris,,"11 Rue Scribe, Paris",original,letter,typed,French,,3,2.33076789204716,48.8721279808671
1963,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 09 June 1922","Box: 1; Folder: 1922, June","Binder III, page 168",09 June 1922,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,4,11.0930899997848,47.5688000000298
2213,"Chemins de Fer de L'est to Sergey Sergeevich Prokofiev, 06 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 134",06 April 1923,exact,Chemins de Fer de L'est,not_stated,187 Rue de Lafayette,Paris,,"187 Rue de Lafayette, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,handwritten,French,,5,11.0930899997848,47.5688000000298
2216,"Herman Schaad to Sergey Sergeevich Prokofiev, 10 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 139",10 April 1923,exact,Herman Schaad,not_stated,29 West 42nd Street,New York,,"29 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",original,letter,typed,English,,6,-0.144297259945522,51.5138061702429
1965,"John H. Tillett to Sergey Sergeevich Prokofiev, 14 June 1922","Box: 1; Folder: 1922, June","Binder III, page 171",14 June 1922,exact,John H. Tillett,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,7,11.0930899997848,47.5688000000298
2219,"Clerical assistant to Sergey Sergeevich Prokofiev, 15 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 128",15 April 1923,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,8,11.0930899997848,47.5688000000298
1968,"Harold McCormick to Sergey Sergeevich Prokofiev, [16 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 173",16 June 1922,implied,Harold McCormick,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,telegram,handwritten,English,,9,11.0930899997848,47.5688000000298
2221,"Clerical assistant to Sergey Sergeevich Prokofiev, 18 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 143",18 April 1923,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,10,11.0930899997848,47.5688000000298
1981,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, [29 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 194",29 June 1922,implied,José Raoul Capablanca,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,English,Postcard of 'Hotel Majestic'.,11,11.0930899997848,47.5688000000298
2223,"Jacques Hébertot to Sergey Sergeevich Prokofiev, 20 April 1923","Box: 1; Folder: 1923, April","Binder IV, page 145",20 April 1923,exact,Jacques Hébertot,not_stated,13 - 15 Avenue Montaigne,Paris,,"13 - 15 Avenue Montaigne, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,12,11.0930899997848,47.5688000000298
1983,"Iosif Vladimirovich Gessen to Sergey Sergeevich Prokofiev, 08 July 1922","Box: 1; Folder: 1922, July","Binder III, page 192",08 July 1922,exact,Iosif Vladimirovich Gessen,not_stated,Markgrafenstrasse 73,Berlin,,"Markgrafenstrasse 73, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,13,11.0930899997848,47.5688000000298
2233,"Clerical assistant to Sergey Sergeevich Prokofiev, 08 May 1923","Box: 1; Folder: 1923, May","Binder IV, page 156",08 May 1923,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,14,11.0930899997848,47.5688000000298
2237,"Franco-American Musical Society to Sergey Sergeevich Prokofiev, 11 May 1923","Box: 1; Folder: 1923, May","Binder IV, page 163",11 May 1923,exact,Franco-American Musical Society,not_stated,541 Madison Avenue,New York,,"541 Madison Avenue, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,original,letter,typed,French,,15,2.34143999979337,48.8572100000963
2238,"Rob Forberg to Sergey Sergeevich Prokofiev, 11 May 1923","Box: 1; Folder: 1923, May","Binder IV, page 164",11 May 1923,exact,Rob Forberg,not_stated,not_stated,Leipzig,,Leipzig,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,handwritten,German,,16,11.0930899997848,47.5688000000298
2249,"Clerical assistant to Sergey Sergeevich Prokofiev, 01 June 1923","Box: 1; Folder: 1923, June","Binder IV, page 175",01 June 1923,exact,Clerical assistant,Russischer Musikverlag,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,handwritten,German,,17,11.0930899997848,47.5688000000298
2251,"Clerical assistant to Sergey Sergeevich Prokofiev, 02 June 1923","Box: 1; Folder: 1923, June","Binder IV, page 177",02 June 1923,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,French,,18,11.0930899997848,47.5688000000298
